date,Fiesta de la Candelaria,Lago Titicaca,Turismo Puno,Cultura Puno,isPartial
2017-01-01,15,31,11,0,False
2017-01-08,24,32,17,0,False
2017-01-15,24,31,9,0,False
2017-01-22,30,38,12,0,False
2017-01-29,60,31,9,9,False
2017-02-05,65,32,11,8,False
2017-02-12,14,23,11,0,False
2017-02-19,0,27,0,0,False
2017-02-26,0,28,8,0,False
2017-03-05,0,25,10,0,False
2017-03-12,0,30,0,0,False
2017-03-19,0,33,0,0,False
2017-03-26,7,35,10,0,False
2017-04-02,0,40,0,0,False
2017-04-09,0,46,0,0,False
2017-04-16,0,53,0,7,False
2017-04-23,7,52,6,0,False
2017-04-30,0,40,10,0,False
2017-05-07,0,44,0,12,False
2017-05-14,0,40,11,0,False
2017-05-21,0,45,10,0,False
2017-05-28,0,59,7,0,False
2017-06-04,6,66,10,8,False
2017-06-11,0,72,0,0,False
2017-06-18,7,71,8,7,False
2017-06-25,7,71,7,0,False
2017-07-02,0,81,11,0,False
2017-07-09,11,100,10,0,False
2017-07-16,9,82,13,22,False
2017-07-23,0,48,13,0,False
2017-07-30,0,52,9,0,False
2017-08-06,0,52,9,0,False
2017-08-13,0,62,0,0,False
2017-08-20,0,62,0,0,False
2017-08-27,8,50,0,0,False
2017-09-03,0,74,7,0,False
2017-09-10,0,72,9,0,False
2017-09-17,12,80,0,6,False
2017-09-24,0,73,7,7,False
2017-10-01,0,70,0,0,False
2017-10-08,0,65,7,0,False
2017-10-15,0,68,6,0,False
2017-10-22,0,62,8,0,False
2017-10-29,0,46,7,0,False
2017-11-05,8,59,9,0,False
2017-11-12,9,66,7,0,False
2017-11-19,0,58,0,0,False
2017-11-26,8,70,0,0,False
2017-12-03,6,55,0,0,False
2017-12-10,0,56,0,0,False
2017-12-17,0,35,0,0,False
2017-12-24,13,26,12,0,False
2017-12-31,11,24,0,0,False
2017-12-31,11,25,0,0,False
2018-01-07,20,24,0,9,False
2018-01-14,18,26,10,0,False
2018-01-21,26,27,7,0,False
2018-01-28,46,25,13,0,False
2018-02-04,47,29,11,0,False
2018-02-11,48,29,0,12,False
2018-02-18,8,21,7,0,False
2018-02-25,7,28,7,0,False
2018-03-04,0,24,9,0,False
2018-03-11,0,48,8,0,False
2018-03-18,7,36,8,0,False
2018-03-25,0,47,7,0,False
2018-04-01,0,38,7,0,False
2018-04-08,6,37,7,0,False
2018-04-15,7,45,8,0,False
2018-04-22,6,45,0,0,False
2018-04-29,6,38,6,0,False
2018-05-06,0,39,7,6,False
2018-05-13,0,45,0,0,False
2018-05-20,0,60,9,0,False
2018-05-27,0,48,0,0,False
2018-06-03,6,62,8,0,False
2018-06-10,8,71,7,0,False
2018-06-17,6,62,7,0,False
2018-06-24,7,58,0,0,False
2018-07-01,6,70,8,8,False
2018-07-08,15,100,9,0,False
2018-07-15,14,98,7,0,False
2018-07-22,7,75,13,0,False
2018-07-29,0,47,11,0,False
2018-08-05,0,57,0,0,False
2018-08-12,0,87,12,0,False
2018-08-19,12,94,0,0,False
2018-08-26,0,65,7,0,False
2018-09-02,7,80,0,7,False
2018-09-09,13,78,8,0,False
2018-09-16,10,80,9,0,False
2018-09-23,8,78,6,7,False
2018-09-30,6,58,0,0,False
2018-10-07,0,45,0,7,False
2018-10-14,6,61,0,0,False
2018-10-21,7,63,6,0,False
2018-10-28,9,61,0,0,False
2018-11-04,8,72,0,0,False
2018-11-11,9,62,0,0,False
2018-11-18,11,66,0,0,False
2018-11-25,11,62,0,0,False
2018-12-02,11,50,0,0,False
2018-12-09,0,56,0,0,False
